ROAD_ELEMENT_ID,STREET_BODY_NAME,STREET_TYPE_SUFFIX,DIRECTION_SUFFIX,STREET_CP,FROM_STREET,TO_STREET,PLOW_ROUTE,F_ADDR_L,T_ADDR_L,F_ADDR_R,T_ADDR_R,F_ADDR_L_911,T_ADDR_L_911,F_ADDR_R_911,T_ADDR_R_911,NO_OF_LANE,GIS_CLASS,JURISDICTION,RIGHT_SIDE_PARITY,TRAFFIC_FLOW,STATUS,MUNICIPALITY,RIGHT_MUNICIPALITY,LEFT_MUNICIPALITY,ROAD_LEVEL,STREET_TYPE_SHORT,MAP_LABEL,GeoJSON,geo_point_2d
1331,TEAL,CRT,,TEAL CRT,CUL DE SAC,MALABAR DR,11R,577,599,580,598,577,599,580,598,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CT,Teal Crt,"{""coordinates"": [[-76.5519945, 44.2408641], [-76.5520405, 44.2410126], [-76.5517208, 44.2414929]], ""type"": ""LineString""}","44.241186017521585, -76.55190969688192"
921,BROCK,ST,,BROCK ST,PALACE RD,SIR JOHN A. MACDONALD BLVD,1A,,,,,816,818,813,815,1,ARTERIAL,MUNICIPAL,ODD,UP,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Brock St,"{""coordinates"": [[-76.5136637, 44.232308], [-76.5141377, 44.2323014], [-76.5141499, 44.2323018], [-76.5141621, 44.2323025], [-76.5141743, 44.2323035], [-76.5141864, 44.2323048], [-76.5141984, 44.2323064], [-76.5142104, 44.2323083], [-76.5142222, 44.2323105], [-76.514234, 44.232313], [-76.5142456, 44.2323158], [-76.5142571, 44.2323188], [-76.5142684, 44.2323222], [-76.5142796, 44.2323258], [-76.5142906, 44.2323297], [-76.5143014, 44.2323338], [-76.514312, 44.2323382], [-76.5143223, 44.2323429], [-76.5143325, 44.2323479], [-76.5143424, 44.232353], [-76.514352, 44.2323584], [-76.5143614, 44.2323641], [-76.5143705, 44.23237], [-76.5143794, 44.2323761], [-76.5143879, 44.2323824], [-76.5143961, 44.2323889], [-76.5144041, 44.2323956], [-76.5144116, 44.2324025], [-76.5144189, 44.2324096], [-76.5144258, 44.2324169], [-76.5144324, 44.2324243], [-76.5144386, 44.2324319], [-76.5144445, 44.2324396], [-76.5144499, 44.2324475], [-76.514455, 44.2324555], [-76.5144597, 44.2324636], [-76.5144641, 44.2324719], [-76.514468, 44.2324802], [-76.5144715, 44.2324886], [-76.5144747, 44.2324971], [-76.5146443, 44.2330711], [-76.5146926, 44.233319]], ""type"": ""LineString""}","44.23261382959003, -76.51434043332304"
543,OLYMPUS,AVE,,OLYMPUS AVE,AUDEN PARK DR,AUDEN PARK DR,34R,241,313,240,314,239,315,238,316,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Olympus Ave,"{""coordinates"": [[-76.5845104, 44.2246008], [-76.5833454, 44.2246576], [-76.5833369, 44.2246586], [-76.5833285, 44.2246598], [-76.5833201, 44.2246613], [-76.5833118, 44.2246629], [-76.5833036, 44.2246648], [-76.5832955, 44.2246669], [-76.5832875, 44.2246692], [-76.5832796, 44.2246716], [-76.5832718, 44.2246743], [-76.5832642, 44.2246772], [-76.5832567, 44.2246802], [-76.5832493, 44.2246835], [-76.5832422, 44.2246869], [-76.5832352, 44.2246905], [-76.5832283, 44.2246943], [-76.5832217, 44.2246982], [-76.5832153, 44.2247024], [-76.583209, 44.2247066], [-76.583203, 44.2247111], [-76.5831972, 44.2247156], [-76.5831916, 44.2247204], [-76.5831863, 44.2247252], [-76.5831812, 44.2247302], [-76.5831765, 44.2247352], [-76.583172, 44.2247403], [-76.5831677, 44.2247455], [-76.5831637, 44.2247508], [-76.58316, 44.2247562], [-76.5831565, 44.2247616], [-76.5831533, 44.2247672], [-76.5831503, 44.2247728], [-76.5831476, 44.2247785], [-76.5831452, 44.2247843], [-76.5831431, 44.2247901], [-76.5831412, 44.224796], [-76.5831396, 44.2248019], [-76.5831383, 44.2248079], [-76.5831373, 44.2248139], [-76.5831365, 44.2248199], [-76.5831361, 44.2248259], [-76.5831359, 44.2248319], [-76.583136, 44.2248379], [-76.5831364, 44.2248439], [-76.5831371, 44.2248499], [-76.5831381, 44.2248559], [-76.5833553, 44.2270405], [-76.5833554, 44.2270466], [-76.5833559, 44.2270527], [-76.5833567, 44.2270587], [-76.5833577, 44.2270648], [-76.583359, 44.2270708], [-76.5833607, 44.2270768], [-76.5833626, 44.2270827], [-76.5833648, 44.2270886], [-76.5833673, 44.2270944], [-76.58337, 44.2271002], [-76.5833731, 44.2271059], [-76.5833764, 44.2271115], [-76.5833799, 44.227117], [-76.5833838, 44.2271224], [-76.5833879, 44.2271278], [-76.5833922, 44.227133], [-76.5833968, 44.2271381], [-76.5834017, 44.2271431], [-76.5834067, 44.227148], [-76.5834121, 44.2271527], [-76.5834176, 44.2271573], [-76.5834233, 44.2271618], [-76.5834293, 44.2271661], [-76.5834355, 44.2271703], [-76.5834419, 44.2271743], [-76.5834485, 44.2271782], [-76.5834552, 44.2271819], [-76.5834622, 44.2271855], [-76.5834693, 44.2271888], [-76.5834766, 44.227192], [-76.583484, 44.227195], [-76.5834916, 44.2271979], [-76.5834993, 44.2272005], [-76.5835071, 44.2272029], [-76.583515, 44.2272051], [-76.5835231, 44.2272072], [-76.5835312, 44.227209], [-76.5835394, 44.2272106], [-76.5835477, 44.2272121], [-76.5835561, 44.2272133], [-76.5835645, 44.2272143], [-76.5835729, 44.2272151], [-76.5835814, 44.2272157], [-76.5835899, 44.227216], [-76.5835984, 44.2272162], [-76.5836069, 44.2272161], [-76.5836154, 44.2272159], [-76.5836239, 44.2272154], [-76.5836324, 44.2272147], [-76.584766, 44.2271515]], ""type"": ""LineString""}","44.22593184726509, -76.5836219942224"
782,WILEY,ST,,WILEY ST,DRENNAN ST,WELLER AVE,2B,114,130,115,141,114,140,115,141,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Wiley St,"{""coordinates"": [[-76.489218, 44.2605902], [-76.4894239, 44.2619859]], ""type"": ""LineString""}","44.261288050000005, -76.48932095"
405,WELLINGTON,ST,,WELLINGTON ST,ORDNANCE ST,RIDEAU TERR,16A,288,292,279,279,288,294,277,281,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Wellington St,"{""coordinates"": [[-76.4815293, 44.234443], [-76.4814001, 44.2348798]], ""type"": ""LineString""}","44.2346614, -76.4814647"
1589,GLENARDEN,PL,,GLENARDEN PL,OLD QUARRY RD,CUL DE SAC,4R,10,46,9,43,8,46,7,43,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,PL,Glenarden Pl,"{""coordinates"": [[-76.5245956, 44.2571534], [-76.5246708, 44.2583308]], ""type"": ""LineString""}","44.2577421, -76.5246332"
99,BRISTOL,ST,,BRISTOL ST,ROCKWOOD DR,CUL DE SAC,32R,967,987,968,984,967,987,968,984,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Bristol St,"{""coordinates"": [[-76.6075384, 44.2532801], [-76.6075531, 44.2533004], [-76.6075669, 44.253321], [-76.6075797, 44.2533419], [-76.6075916, 44.2533631], [-76.6076024, 44.2533846], [-76.6076123, 44.2534064], [-76.6076211, 44.2534283], [-76.607629, 44.2534505], [-76.6076358, 44.2534728], [-76.6076416, 44.2534953], [-76.6076463, 44.2535179], [-76.60765, 44.2535406], [-76.6076526, 44.2535634], [-76.6076542, 44.2535862], [-76.6076788, 44.2540844]], ""type"": ""LineString""}","44.2536722194389, -76.60764461419542"
3380,EARL,ST,,EARL ST,VICTORIA ST,TORONTO ST,25A,480,482,463,467,462,482,463,467,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Earl St,"{""coordinates"": [[-76.5026464, 44.2296465], [-76.5037219, 44.2296143]], ""type"": ""LineString""}","44.229630400000005, -76.50318415000001"
754,BRIARWOOD,DR,,BRIARWOOD DR,TANGLEWOOD DR,AUDEN PARK DR,8R,305,377,304,364,305,377,304,368,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Briarwood Dr,"{""coordinates"": [[-76.5875309, 44.2320078], [-76.5874505, 44.2312206], [-76.5874492, 44.2312123], [-76.587447, 44.2312041], [-76.5874437, 44.2311961], [-76.5874395, 44.2311883], [-76.5874343, 44.2311809], [-76.5874283, 44.2311737], [-76.5874214, 44.231167], [-76.5874137, 44.2311608], [-76.5874052, 44.2311551], [-76.5873961, 44.2311499], [-76.5873864, 44.2311454], [-76.5873762, 44.2311415], [-76.5873655, 44.2311382], [-76.5873545, 44.2311356], [-76.5873431, 44.2311338], [-76.5873316, 44.2311326], [-76.58732, 44.2311322], [-76.5873083, 44.2311326], [-76.5851738, 44.2312477]], ""type"": ""LineString""}","44.23129614571211, -76.58662661694306"
765,FRONT,RD,,FRONT RD,LAKELAND POINT DR,BAYRIDGE DR,9A,897,915,910,920,895,1001,892,930,2,ARTERIAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,RD,Front Rd,"{""coordinates"": [[-76.5809043, 44.2177216], [-76.5811102, 44.2177376], [-76.581417, 44.2177721], [-76.5817182, 44.2178258], [-76.5820114, 44.2178983], [-76.5822945, 44.2179891], [-76.5825651, 44.2180974], [-76.5845456, 44.218947], [-76.5855124, 44.2193852]], ""type"": ""LineString""}","44.21843102322486, -76.58324424451274"
770,VISTA,DR,,VISTA DR,MILLWOOD DR,BATH RD,8R,,,,,517,531,516,530,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Vista Dr,"{""coordinates"": [[-76.5836538, 44.2362307], [-76.5837151, 44.2372253]], ""type"": ""LineString""}","44.236728, -76.58368444999999"
3025,WARBURTON,CRES,,WARBURTON CRES,WATERLOO DR,WATERLOO DR,7R,878,968,865,985,862,986,861,987,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Warburton Cres,"{""coordinates"": [[-76.5538513, 44.2544282], [-76.5537657, 44.2531158], [-76.5537646, 44.2531119], [-76.5537637, 44.253108], [-76.5537629, 44.253104], [-76.5537624, 44.2531001], [-76.553762, 44.2530961], [-76.5537618, 44.2530921], [-76.5537619, 44.2530882], [-76.5537621, 44.2530842], [-76.5537625, 44.2530802], [-76.553763, 44.2530763], [-76.5537638, 44.2530723], [-76.5537648, 44.2530684], [-76.5537659, 44.2530645], [-76.5537672, 44.2530607], [-76.5537687, 44.2530569], [-76.5537704, 44.2530531], [-76.5537723, 44.2530493], [-76.5537743, 44.2530456], [-76.5537765, 44.253042], [-76.5537789, 44.2530384], [-76.5537815, 44.2530349], [-76.5537842, 44.2530315], [-76.5537871, 44.2530281], [-76.5537901, 44.2530247], [-76.5537933, 44.2530215], [-76.5537967, 44.2530183], [-76.5538002, 44.2530153], [-76.5538038, 44.2530123], [-76.5538076, 44.2530093], [-76.5538116, 44.2530065], [-76.5538157, 44.2530038], [-76.5538199, 44.2530011], [-76.5538243, 44.2529986], [-76.5538287, 44.2529962], [-76.5538333, 44.2529939], [-76.553838, 44.2529917], [-76.5538428, 44.2529896], [-76.5538477, 44.2529877], [-76.5538526, 44.2529859], [-76.5538577, 44.2529842], [-76.5538628, 44.2529826], [-76.5538681, 44.2529811], [-76.5538733, 44.2529798], [-76.5538787, 44.2529786], [-76.5538841, 44.2529776], [-76.5538895, 44.2529767], [-76.553895, 44.2529759], [-76.5539005, 44.2529752], [-76.5539061, 44.2529747], [-76.5539116, 44.2529743], [-76.5539172, 44.2529741], [-76.5539228, 44.252974], [-76.5539284, 44.252974], [-76.5539339, 44.2529742], [-76.5539395, 44.2529745], [-76.5539451, 44.252975], [-76.5539506, 44.2529756], [-76.5539561, 44.2529763], [-76.5539616, 44.2529772], [-76.553967, 44.2529782], [-76.5539723, 44.2529793], [-76.5541844, 44.2529764], [-76.5542207, 44.2529747], [-76.5542569, 44.2529722], [-76.5542929, 44.2529688], [-76.5543288, 44.2529645], [-76.5543644, 44.2529594], [-76.5543998, 44.2529534], [-76.5544349, 44.2529466], [-76.5544697, 44.2529389], [-76.5545041, 44.2529304], [-76.554538, 44.2529211], [-76.5545716, 44.252911], [-76.5546046, 44.2529], [-76.5546371, 44.2528883], [-76.554669, 44.2528758], [-76.5547004, 44.2528626], [-76.5547311, 44.2528486], [-76.5547612, 44.2528339], [-76.5547905, 44.2528185], [-76.5547941, 44.2528156], [-76.5547978, 44.2528128], [-76.5548017, 44.25281], [-76.5548057, 44.2528074], [-76.5548098, 44.2528049], [-76.554814, 44.2528025], [-76.5548183, 44.2528002], [-76.5548228, 44.252798], [-76.5548274, 44.2527959], [-76.554832, 44.2527939], [-76.5548368, 44.2527921], [-76.5548416, 44.2527904], [-76.5548465, 44.2527888], [-76.5548515, 44.2527873], [-76.5548566, 44.2527859], [-76.5548617, 44.2527847], [-76.5548669, 44.2527836], [-76.5548721, 44.2527826], [-76.5548774, 44.2527818], [-76.5548827, 44.252781], [-76.554888, 44.2527805], [-76.5548934, 44.25278], [-76.5548988, 44.2527797], [-76.5549042, 44.2527795], [-76.5549096, 44.2527795], [-76.554915, 44.2527796], [-76.5549203, 44.2527798], [-76.5549257, 44.2527802], [-76.5549311, 44.2527807], [-76.5549364, 44.2527813], [-76.5549417, 44.2527821], [-76.554947, 44.252783], [-76.5549522, 44.252784], [-76.5549573, 44.2527852], [-76.5549624, 44.2527865], [-76.5549675, 44.2527879], [-76.5549724, 44.2527894], [-76.5549773, 44.2527911], [-76.5549821, 44.2527928], [-76.5549868, 44.2527947], [-76.5549914, 44.2527968], [-76.5549959, 44.2527989], [-76.5550003, 44.2528011], [-76.5550046, 44.2528035], [-76.5550088, 44.2528059], [-76.5550129, 44.2528085], [-76.5550168, 44.2528112], [-76.5550206, 44.2528139], [-76.5550243, 44.2528168], [-76.5550278, 44.2528197], [-76.5550312, 44.2528227], [-76.5550344, 44.2528258], [-76.5555298, 44.2532655], [-76.5555337, 44.2532687], [-76.5555375, 44.2532721], [-76.555541, 44.2532755], [-76.5555445, 44.2532789], [-76.5555477, 44.2532825], [-76.5555508, 44.2532862], [-76.5555537, 44.2532899], [-76.5555565, 44.2532937], [-76.555559, 44.2532975], [-76.5555614, 44.2533014], [-76.5555636, 44.2533054], [-76.5555656, 44.2533094], [-76.5555674, 44.2533135], [-76.555569, 44.2533176], [-76.5555704, 44.2533217], [-76.5555716, 44.2533259], [-76.5555727, 44.2533301], [-76.5555735, 44.2533343], [-76.5555741, 44.2533386], [-76.5555745, 44.2533428], [-76.5555748, 44.2533471], [-76.5555748, 44.2533514], [-76.5555746, 44.2533556], [-76.5555742, 44.2533599], [-76.5555736, 44.2533641], [-76.5555729, 44.2533683], [-76.5555719, 44.2533725], [-76.5555707, 44.2533767], [-76.5555694, 44.2533809], [-76.5555678, 44.253385], [-76.555566, 44.253389], [-76.5555641, 44.253393], [-76.555562, 44.253397], [-76.5555597, 44.2534009], [-76.5555572, 44.2534048], [-76.5555545, 44.2534086], [-76.5555516, 44.2534123], [-76.5555486, 44.253416], [-76.5555454, 44.2534195], [-76.555542, 44.253423], [-76.5555385, 44.2534264], [-76.5555348, 44.2534298], [-76.555531, 44.253433], [-76.555527, 44.2534362], [-76.5555228, 44.2534392], [-76.5555185, 44.2534421], [-76.5555141, 44.253445], [-76.5555096, 44.2534477], [-76.5555049, 44.2534503], [-76.5550772, 44.2536727], [-76.5550699, 44.2536747], [-76.5550627, 44.2536769], [-76.5550556, 44.2536793], [-76.5550486, 44.2536819], [-76.5550418, 44.2536847], [-76.555035, 44.2536876], [-76.5550285, 44.2536907], [-76.5550221, 44.2536939], [-76.5550158, 44.2536974], [-76.5550097, 44.2537009], [-76.5550038, 44.2537046], [-76.5549981, 44.2537085], [-76.5549925, 44.2537125], [-76.5549872, 44.2537166], [-76.554982, 44.2537209], [-76.5549771, 44.2537253], [-76.5549724, 44.2537298], [-76.5549679, 44.2537344], [-76.5549637, 44.2537392], [-76.5549596, 44.253744], [-76.5549558, 44.253749], [-76.5549523, 44.253754], [-76.554949, 44.2537591], [-76.554946, 44.2537642], [-76.5549432, 44.2537694], [-76.5549407, 44.2537746], [-76.5549384, 44.2537798], [-76.5549364, 44.2537852], [-76.5549347, 44.2537905], [-76.5549332, 44.253796], [-76.5549319, 44.2538014], [-76.5549309, 44.2538069], [-76.5549302, 44.2538124], [-76.5549298, 44.2538179], [-76.5549295, 44.2538234], [-76.5549296, 44.2538289], [-76.5549299, 44.2538344], [-76.5549305, 44.2538399], [-76.5549313, 44.2538454], [-76.5549324, 44.2538509], [-76.5549338, 44.2538563], [-76.5549354, 44.2538617], [-76.5549372, 44.253867], [-76.5549774, 44.2544403]], ""type"": ""LineString""}","44.2534375998671, -76.5545897823573"
3042,OLD FRONT,RD,,OLD FRONT RD,FRONT RD,FRONT RD,9R,925,1055,926,1000,923,1301,924,1300,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,RD,Old Front Rd,"{""coordinates"": [[-76.5855124, 44.2193852], [-76.5857197, 44.2191384], [-76.5858544, 44.2190034], [-76.5867774, 44.2181915], [-76.5874295, 44.2177455], [-76.5877422, 44.2175128], [-76.5879188, 44.217403], [-76.5879391, 44.2173904], [-76.58796, 44.2173783], [-76.5879815, 44.2173667], [-76.5880035, 44.2173556], [-76.588026, 44.2173451], [-76.588049, 44.2173352], [-76.5880725, 44.2173258], [-76.5880965, 44.217317], [-76.5881208, 44.2173089], [-76.5881455, 44.2173013], [-76.5881706, 44.2172944], [-76.5881959, 44.217288], [-76.5882216, 44.2172824], [-76.5882475, 44.2172773], [-76.5882737, 44.2172729], [-76.5886788, 44.2172057], [-76.5893453, 44.2171272], [-76.5901882, 44.2170837], [-76.5903954, 44.2170676], [-76.5905751, 44.2170509], [-76.5907698, 44.2170273], [-76.5920188, 44.2168694], [-76.5922744, 44.2168373], [-76.5924296, 44.2168209], [-76.5925439, 44.2168138], [-76.5926034, 44.216813], [-76.5926797, 44.2168119], [-76.5927744, 44.2168117], [-76.5928935, 44.2168144], [-76.5936174, 44.2168296], [-76.5942869, 44.2168652], [-76.5946227, 44.2168912], [-76.5946558, 44.2168929], [-76.5946888, 44.2168953], [-76.5947216, 44.2168986], [-76.5947543, 44.2169026], [-76.5947868, 44.2169074], [-76.5948191, 44.216913], [-76.594851, 44.2169193], [-76.5948827, 44.2169264], [-76.594914, 44.2169343], [-76.594945, 44.2169429], [-76.594968, 44.2169526], [-76.5949905, 44.2169628], [-76.5950125, 44.2169736], [-76.595034, 44.216985], [-76.5950549, 44.2169968], [-76.5950753, 44.2170092], [-76.5950951, 44.2170221], [-76.5951142, 44.2170354], [-76.5951327, 44.2170492], [-76.5951505, 44.2170635], [-76.5951676, 44.2170782], [-76.595184, 44.2170933], [-76.5951997, 44.2171088], [-76.5952146, 44.2171247], [-76.5952288, 44.217141], [-76.5952421, 44.2171576], [-76.5952547, 44.2171745], [-76.5952664, 44.2171917], [-76.5952774, 44.2172092], [-76.5952875, 44.2172269]], ""type"": ""LineString""}","44.217390127757916, -76.59018321268101"
1367,FREEMAN,CRES,,FREEMAN CRES,GREENWOOD PARK DR,MORIN AVE,4C-R,450,506,455,479,450,506,451,479,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Freeman Cres,"{""coordinates"": [[-76.4487173, 44.2674584], [-76.4503275, 44.2683825], [-76.4503428, 44.2683874], [-76.4503574, 44.2683933], [-76.4503712, 44.2684001], [-76.4503841, 44.2684078], [-76.450396, 44.2684163], [-76.4504068, 44.2684254], [-76.4504165, 44.2684353], [-76.4504248, 44.2684457], [-76.4504319, 44.2684567], [-76.4504375, 44.268468], [-76.4504417, 44.2684797], [-76.4504445, 44.2684916], [-76.4504458, 44.2685036], [-76.4504455, 44.2685157], [-76.4504438, 44.2685278], [-76.4504406, 44.2685396], [-76.450436, 44.2685513], [-76.4504299, 44.2685626], [-76.4504225, 44.2685735], [-76.4504138, 44.2685839], [-76.4504038, 44.2685937], [-76.4503927, 44.2686028], [-76.4503805, 44.2686112], [-76.4503673, 44.2686187], [-76.4503532, 44.2686255], [-76.4503384, 44.2686312], [-76.4498203, 44.2690674]], ""type"": ""LineString""}","44.26821039654234, -76.44976211386393"
4129,,,,,,,CP,,,,,0,0,0,0,,SERVICE_PARK,PRIVATE,,,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,,CRCA Trails,"{""coordinates"": [[-76.5109171, 44.2922244], [-76.5109303, 44.2922222], [-76.5109433, 44.2922198], [-76.5109561, 44.2922171], [-76.5109689, 44.292214], [-76.5109815, 44.2922106], [-76.5109939, 44.2922069], [-76.5110061, 44.2922029], [-76.5110182, 44.2921986], [-76.51103, 44.2921941], [-76.5110416, 44.2921892], [-76.5111284, 44.2921334], [-76.5112219, 44.292073], [-76.5113585, 44.2919876], [-76.5113666, 44.2919833], [-76.5113744, 44.2919788], [-76.5113821, 44.2919741], [-76.5113895, 44.2919692], [-76.5113966, 44.2919642], [-76.5114035, 44.2919589], [-76.5114102, 44.2919536], [-76.5114166, 44.291948], [-76.5114227, 44.2919423], [-76.5114286, 44.2919364], [-76.5114342, 44.2919305], [-76.5114395, 44.2919243], [-76.5114445, 44.2919181], [-76.5114492, 44.2919117], [-76.5114536, 44.2919052], [-76.5114576, 44.2918986], [-76.5114614, 44.291892], [-76.5114648, 44.2918852], [-76.5114679, 44.2918783], [-76.5114707, 44.2918714], [-76.5114732, 44.2918644], [-76.5114753, 44.2918574], [-76.5114771, 44.2918503], [-76.5114785, 44.2918431], [-76.5114796, 44.291836], [-76.5114804, 44.2918288], [-76.5114808, 44.2918216], [-76.5114809, 44.2918144], [-76.5114806, 44.2918072], [-76.51148, 44.2918], [-76.5114791, 44.2917928], [-76.5114778, 44.2917857], [-76.5114761, 44.2917785], [-76.5114742, 44.2917715], [-76.5114718, 44.2917645], [-76.5114692, 44.2917575], [-76.5114662, 44.2917506], [-76.5114629, 44.2917438], [-76.5114593, 44.2917371], [-76.5114554, 44.2917305], [-76.511409, 44.2916408], [-76.5112733, 44.2914537], [-76.5112149, 44.2913425], [-76.5111986, 44.2912501], [-76.5112023, 44.2912113], [-76.5112019, 44.2912068], [-76.5112017, 44.2912022], [-76.5112016, 44.2911976], [-76.5112018, 44.2911931], [-76.5112023, 44.2911885], [-76.5112029, 44.2911839], [-76.5112038, 44.2911794], [-76.5112048, 44.2911749], [-76.5112061, 44.2911704], [-76.5112076, 44.291166], [-76.5112093, 44.2911616], [-76.5112112, 44.2911572], [-76.5112134, 44.2911529], [-76.5112157, 44.2911486], [-76.5112182, 44.2911444], [-76.5112209, 44.2911403], [-76.5112238, 44.2911362], [-76.5112269, 44.2911322], [-76.5112302, 44.2911283], [-76.5112337, 44.2911245], [-76.5112374, 44.2911207], [-76.5112412, 44.2911171], [-76.5112452, 44.2911135], [-76.5112494, 44.29111], [-76.5112537, 44.2911067], [-76.5112582, 44.2911034], [-76.5112629, 44.2911003], [-76.5112676, 44.2910973], [-76.5112726, 44.2910944], [-76.5112776, 44.2910916], [-76.5112828, 44.291089], [-76.5112881, 44.2910864], [-76.5112936, 44.291084], [-76.5112991, 44.2910818], [-76.5113048, 44.2910797], [-76.5113105, 44.2910777], [-76.5113163, 44.2910758], [-76.5116438, 44.290962], [-76.5117513, 44.2909079], [-76.5118531, 44.2908389], [-76.5119322, 44.2907625], [-76.5119857, 44.290677]], ""type"": ""LineString""}","44.29144910864268, -76.51140926065531"
1222,FAIRWAY NORTH,,,FAIRWAY NORTH,QUEEN MARY RD,FAIRWAY HILL CRES,5B,6,16,5,15,6,16,5,15,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,,Fairway North,"{""coordinates"": [[-76.5329888, 44.2334155], [-76.534194, 44.233353]], ""type"": ""LineString""}","44.23338425, -76.5335914"
266,SIGNAL,AVE,,SIGNAL AVE,BYNG AVE,PRINCESS ROYAL AVE,8C-R,13,13,,,13,15,14,16,2,LOCAL,FEDERAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Signal Ave,"{""coordinates"": [[-76.4354573, 44.2377994], [-76.4352467, 44.2366577]], ""type"": ""LineString""}","44.23722855, -76.435352"
2934,BAGOT,ST,,BAGOT ST,ORDNANCE ST,BAY ST,16A,398,428,401,425,398,428,401,425,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Bagot St,"{""coordinates"": [[-76.4838156, 44.2347224], [-76.4838511, 44.2358238]], ""type"": ""LineString""}","44.2352731, -76.48383335"
3986,,,,,,,P,,,,,0,0,0,0,,SERVICE_PENITENTIARY,PRIVATE,,,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,,JP Penitentiary Rd,"{""coordinates"": [[-76.3463155, 44.359963], [-76.3462419, 44.3600404], [-76.3462357, 44.3600458], [-76.3462298, 44.3600514], [-76.3462241, 44.3600571], [-76.3462187, 44.360063], [-76.3462136, 44.360069], [-76.3462088, 44.3600751], [-76.3462042, 44.3600814], [-76.3462, 44.3600877], [-76.3461961, 44.3600942], [-76.3461926, 44.3601007], [-76.3461893, 44.3601073], [-76.3461864, 44.3601141], [-76.3461838, 44.3601208], [-76.3461815, 44.3601277], [-76.3461795, 44.3601346], [-76.3461779, 44.3601415], [-76.3461767, 44.3601485], [-76.3461757, 44.3601555], [-76.3461752, 44.3601625], [-76.3461749, 44.3601695], [-76.346175, 44.3601766], [-76.3461754, 44.3601836], [-76.3461762, 44.3601906], [-76.3461773, 44.3601976], [-76.3461788, 44.3602045], [-76.3461806, 44.3602115], [-76.3461827, 44.3602183], [-76.3461852, 44.3602251], [-76.3461876, 44.3602395], [-76.3462544, 44.360431], [-76.3464358, 44.360695], [-76.3465161, 44.3607784], [-76.3465213, 44.3607826], [-76.3465267, 44.3607868], [-76.3465323, 44.3607908], [-76.3465381, 44.3607947], [-76.346544, 44.3607984], [-76.3465501, 44.3608019], [-76.3465564, 44.3608054], [-76.3465629, 44.3608086], [-76.3465695, 44.3608117], [-76.3465762, 44.3608147], [-76.3465831, 44.3608175], [-76.3465901, 44.3608201], [-76.3465973, 44.3608225], [-76.3466045, 44.3608247], [-76.3466118, 44.3608268], [-76.3466193, 44.3608287], [-76.3466268, 44.3608304], [-76.3466344, 44.3608319], [-76.3466421, 44.3608333], [-76.3466498, 44.3608344], [-76.3466576, 44.3608354], [-76.3466654, 44.3608361], [-76.3466733, 44.3608367], [-76.3466812, 44.3608371], [-76.346689, 44.3608373], [-76.3466969, 44.3608373], [-76.3467048, 44.3608371], [-76.3472638, 44.3607961], [-76.3475716, 44.3607331], [-76.3477212, 44.3606835]], ""type"": ""LineString""}","44.360607981662085, -76.34675496478269"
